ZoneAlarm Logging Client v4.0.146.029
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport
FWIN,2004/06/05,09:18:20 +2:00 GMT,212.118.140.133:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,09:21:32 +2:00 GMT,218.47.31.185:3317,192.168.31.2:1026,UDP
FWIN,2004/06/05,09:21:32 +2:00 GMT,218.47.31.185:3736,192.168.31.2:1027,UDP
FWIN,2004/06/05,09:22:06 +2:00 GMT,218.76.94.196:4738,192.168.31.2:1026,UDP
FWIN,2004/06/05,09:22:06 +2:00 GMT,218.76.94.196:4739,192.168.31.2:1027,UDP
FWIN,2004/06/05,09:53:52 +2:00 GMT,62.87.135.56:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,09:56:26 +2:00 GMT,62.87.156.188:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,10:01:00 +2:00 GMT,61.228.136.245:1044,192.168.31.2:20168,TCP (flags:S)
FWIN,2004/06/05,10:07:36 +2:00 GMT,212.36.14.108:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,11:04:32 +2:00 GMT,212.17.66.43:4068,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/06/05,11:04:32 +2:00 GMT,212.17.66.43:4071,192.168.31.2:1025,TCP (flags:S)
FWIN,2004/06/05,11:04:34 +2:00 GMT,212.17.66.43:4073,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/06/05,11:04:34 +2:00 GMT,212.17.66.43:4074,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/06/05,11:24:44 +2:00 GMT,222.55.9.21:3645,192.168.31.2:1026,UDP
FWIN,2004/06/05,11:24:44 +2:00 GMT,222.55.9.21:3747,192.168.31.2:1027,UDP
FWIN,2004/06/05,11:37:20 +2:00 GMT,212.204.98.44:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,11:42:38 +2:00 GMT,218.191.8.188:1476,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/06/05,11:42:38 +2:00 GMT,218.191.8.188:2193,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/06/05,12:12:22 +2:00 GMT,151.26.53.201:4110,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/06/05,12:26:16 +2:00 GMT,212.88.248.104:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,12:59:24 +2:00 GMT,80.117.250.168:35616,192.168.31.2:2410,TCP (flags:S)
FWIN,2004/06/05,12:59:48 +2:00 GMT,193.140.20.19:2929,192.168.31.2:4000,TCP (flags:S)
FWIN,2004/06/05,13:02:10 +2:00 GMT,219.145.184.122:4010,192.168.31.2:1026,UDP
FWIN,2004/06/05,13:02:10 +2:00 GMT,219.145.184.122:4320,192.168.31.2:1027,UDP
FWIN,2004/06/05,13:02:12 +2:00 GMT,219.145.184.122:3017,192.168.31.2:1026,UDP
FWIN,2004/06/05,13:02:12 +2:00 GMT,219.145.184.122:3363,192.168.31.2:1027,UDP
FWIN,2004/06/05,13:02:12 +2:00 GMT,219.145.184.122:4629,192.168.31.2:1026,UDP
FWIN,2004/06/05,13:02:12 +2:00 GMT,219.145.184.122:4630,192.168.31.2:1027,UDP
FWIN,2004/06/05,13:02:14 +2:00 GMT,219.145.184.122:4583,192.168.31.2:1026,UDP
FWIN,2004/06/05,13:02:14 +2:00 GMT,219.145.184.122:4929,192.168.31.2:1027,UDP
FWIN,2004/06/05,13:02:14 +2:00 GMT,219.145.184.122:4000,192.168.31.2:1026,UDP
FWIN,2004/06/05,13:02:14 +2:00 GMT,219.145.184.122:4326,192.168.31.2:1027,UDP
FWIN,2004/06/05,13:02:18 +2:00 GMT,219.145.184.122:4187,192.168.31.2:1026,UDP
FWIN,2004/06/05,13:02:18 +2:00 GMT,219.145.184.122:4500,192.168.31.2:1027,UDP
FWIN,2004/06/05,13:05:38 +2:00 GMT,62.87.134.139:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,13:08:16 +2:00 GMT,81.168.144.80:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,13:15:18 +2:00 GMT,4.12.113.32:4496,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/06/05,13:57:42 +2:00 GMT,221.140.130.70:2314,192.168.31.2:1026,UDP
FWIN,2004/06/05,13:57:42 +2:00 GMT,221.140.130.70:2465,192.168.31.2:1027,UDP
FWIN,2004/06/05,13:57:42 +2:00 GMT,221.140.130.70:3501,192.168.31.2:1026,UDP
FWIN,2004/06/05,13:57:42 +2:00 GMT,221.140.130.70:3702,192.168.31.2:1027,UDP
FWIN,2004/06/05,13:57:42 +2:00 GMT,221.140.130.70:4554,192.168.31.2:1026,UDP
FWIN,2004/06/05,13:57:42 +2:00 GMT,221.140.130.70:4707,192.168.31.2:1026,UDP
FWIN,2004/06/05,13:57:42 +2:00 GMT,221.140.130.70:4870,192.168.31.2:1027,UDP
FWIN,2004/06/05,13:57:42 +2:00 GMT,221.140.130.70:1082,192.168.31.2:1027,UDP
FWIN,2004/06/05,13:57:42 +2:00 GMT,221.140.130.70:1466,192.168.31.2:1026,UDP
FWIN,2004/06/05,13:57:42 +2:00 GMT,221.140.130.70:1667,192.168.31.2:1027,UDP
FWIN,2004/06/05,13:57:42 +2:00 GMT,221.140.130.70:2414,192.168.31.2:1026,UDP
FWIN,2004/06/05,13:57:42 +2:00 GMT,221.140.130.70:2415,192.168.31.2:1027,UDP
FWIN,2004/06/05,14:20:06 +2:00 GMT,212.90.243.104:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,14:29:22 +2:00 GMT,212.144.167.239:3108,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/06/05,14:36:40 +2:00 GMT,212.17.103.59:2252,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/06/05,14:36:40 +2:00 GMT,212.17.103.59:2254,192.168.31.2:1025,TCP (flags:S)
FWIN,2004/06/05,14:36:40 +2:00 GMT,212.17.103.59:2256,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/06/05,14:36:40 +2:00 GMT,212.17.103.59:2257,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/06/05,14:42:48 +2:00 GMT,212.171.151.175:1437,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/06/05,14:45:26 +2:00 GMT,81.34.114.106:1454,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/06/05,14:47:58 +2:00 GMT,213.77.171.205:4316,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/06/05,14:49:30 +2:00 GMT,213.196.245.250:15335,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/06/05,14:51:58 +2:00 GMT,81.33.136.32:4288,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/06/05,14:53:42 +2:00 GMT,194.229.178.123:1042,192.168.31.2:11981,TCP (flags:S)
FWIN,2004/06/05,15:01:40 +2:00 GMT,130.226.13.29:3778,192.168.31.2:11981,TCP (flags:S)
FWIN,2004/06/05,15:02:58 +2:00 GMT,212.86.248.55:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,15:17:30 +2:00 GMT,83.35.158.83:1704,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/06/05,15:43:26 +2:00 GMT,82.103.110.240:4503,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/06/05,15:48:22 +2:00 GMT,212.194.175.106:4270,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/06/05,15:48:22 +2:00 GMT,212.194.175.106:4272,192.168.31.2:1025,TCP (flags:S)
FWIN,2004/06/05,15:48:22 +2:00 GMT,212.194.175.106:4276,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/06/05,16:05:50 +2:00 GMT,213.22.233.123:1427,192.168.31.2:901,TCP (flags:S)
FWIN,2004/06/05,16:14:08 +2:00 GMT,61.174.166.142:2488,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/06/05,16:14:10 +2:00 GMT,61.174.166.142:3206,192.168.31.2:1023,TCP (flags:S)
FWIN,2004/06/05,16:14:12 +2:00 GMT,61.174.166.142:4777,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/06/05,16:20:22 +2:00 GMT,218.39.100.73:3219,192.168.31.2:1027,UDP
FWIN,2004/06/05,16:30:16 +2:00 GMT,61.98.100.149:1221,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/06/05,16:34:44 +2:00 GMT,212.86.30.26:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,16:37:42 +2:00 GMT,212.144.7.61:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,16:37:44 +2:00 GMT,211.144.105.190:11227,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/06/05,16:37:44 +2:00 GMT,211.144.105.190:47063,192.168.31.2:1025,TCP (flags:S)
FWIN,2004/06/05,16:37:44 +2:00 GMT,211.144.105.190:47075,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/06/05,16:37:44 +2:00 GMT,211.144.105.190:11228,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/06/05,16:45:00 +2:00 GMT,218.76.233.103:3528,192.168.31.2:1027,UDP
FWIN,2004/06/05,16:45:04 +2:00 GMT,218.76.233.103:3026,192.168.31.2:1027,UDP
FWIN,2004/06/05,16:48:56 +2:00 GMT,62.87.134.104:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,16:51:20 +2:00 GMT,212.205.244.167:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,16:54:16 +2:00 GMT,80.165.188.35:3430,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/06/05,17:10:34 +2:00 GMT,198.53.119.223:4467,192.168.31.2:1027,UDP
FWIN,2004/06/05,17:11:26 +2:00 GMT,212.62.87.44:41664,192.168.31.2:455,TCP (flags:S)
FWIN,2004/06/05,17:15:06 +2:00 GMT,212.181.17.238:4725,192.168.31.2:4000,TCP (flags:S)
FWIN,2004/06/05,17:21:00 +2:00 GMT,81.44.9.36:4328,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/06/05,17:26:30 +2:00 GMT,212.34.49.130:59770,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/06/05,17:34:30 +2:00 GMT,221.139.67.164:3510,192.168.31.2:1026,UDP
FWIN,2004/06/05,17:34:30 +2:00 GMT,221.139.67.164:4268,192.168.31.2:1027,UDP
FWIN,2004/06/05,17:35:10 +2:00 GMT,221.139.67.164:3926,192.168.31.2:1026,UDP
FWIN,2004/06/05,17:35:10 +2:00 GMT,221.139.67.164:4840,192.168.31.2:1027,UDP
FWIN,2004/06/05,17:35:34 +2:00 GMT,221.139.67.164:4313,192.168.31.2:1026,UDP
FWIN,2004/06/05,17:35:36 +2:00 GMT,221.139.67.164:1039,192.168.31.2:1027,UDP
FWIN,2004/06/05,17:35:54 +2:00 GMT,221.139.67.164:3714,192.168.31.2:1026,UDP
FWIN,2004/06/05,17:35:54 +2:00 GMT,221.139.67.164:4506,192.168.31.2:1027,UDP
FWIN,2004/06/05,17:38:44 +2:00 GMT,211.144.105.190:19193,192.168.31.2:1025,TCP (flags:S)
FWIN,2004/06/05,17:38:44 +2:00 GMT,211.144.105.190:10451,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/06/05,17:38:44 +2:00 GMT,211.144.105.190:19195,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/06/05,17:40:52 +2:00 GMT,62.87.251.129:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,17:42:12 +2:00 GMT,81.168.144.206:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,18:22:44 +2:00 GMT,212.122.251.137:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,18:35:54 +2:00 GMT,212.97.161.70:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,18:36:06 +2:00 GMT,61.81.50.14:4654,192.168.31.2:901,TCP (flags:S)
FWIN,2004/06/05,19:02:44 +2:00 GMT,212.235.111.128:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,19:13:28 +2:00 GMT,212.182.42.105:3443,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/06/05,19:13:28 +2:00 GMT,212.182.42.105:3445,192.168.31.2:1025,TCP (flags:S)
FWIN,2004/06/05,19:22:22 +2:00 GMT,220.169.52.37:3553,192.168.31.2:1026,UDP
